PROGRAMA,ENTRADA,CAMPUS,GENERACION,RETENCION_CAMPUS
IMT,IIT,Ciudad Juárez,202313,0.9
LAE,NEG,Ciudad Juárez,202313,0.9
LIN,NEG,Ciudad Juárez,202313,0.9
IIS,IIT,Ciudad Juárez,202313,0.9
IMT,IIT,Ciudad Juárez,202411,0.9
LAE,NEG,Ciudad Juárez,202411,0.9
LIN,NEG,Ciudad Juárez,202411,0.9
IIS,IIT,Ciudad Juárez,202411,0.9
IMT,IIT,Ciudad Juárez,202413,0.9
LAE,NEG,Ciudad Juárez,202413,0.9
LIN,NEG,Ciudad Juárez,202413,0.9
IIS,IIT,Ciudad Juárez,202413,0.9
IMT,IIT,Ciudad Juárez,202511,0.9
LAE,NEG,Ciudad Juárez,202511,0.9
LIN,NEG,Ciudad Juárez,202511,0.9
IIS,IIT,Ciudad Juárez,202511,0.9
IMT,IIT,Ciudad Juárez,202513,0.9
LAE,NEG,Ciudad Juárez,202513,0.9
LIN,NEG,Ciudad Juárez,202513,0.9
IIS,IIT,Ciudad Juárez,202513,0.9
IMT,IIT,Ciudad Juárez,202611,0.9
LAE,NEG,Ciudad Juárez,202611,0.9
LIN,NEG,Ciudad Juárez,202611,0.9
IIS,IIT,Ciudad Juárez,202611,0.9
IMT,IIT,Ciudad Juárez,202613,0.9
LAE,NEG,Ciudad Juárez,202613,0.9
LIN,NEG,Ciudad Juárez,202613,0.9
IIS,IIT,Ciudad Juárez,202613,0.9
IMT,IIT,Ciudad Juárez,202711,0.9
LAE,NEG,Ciudad Juárez,202711,0.9
LIN,NEG,Ciudad Juárez,202711,0.9
IIS,IIT,Ciudad Juárez,202711,0.9
IMT,IIT,Ciudad Juárez,202713,0.9
LAE,NEG,Ciudad Juárez,202713,0.9
LIN,NEG,Ciudad Juárez,202713,0.9
IIS,IIT,Ciudad Juárez,202713,0.9
IMT,IIT,Ciudad Juárez,202811,0.9
LAE,NEG,Ciudad Juárez,202811,0.9
LIN,NEG,Ciudad Juárez,202811,0.9
IIS,IIT,Ciudad Juárez,202811,0.9
IMT,IIT,Ciudad Juárez,202813,0.9
LAE,NEG,Ciudad Juárez,202813,0.9
LIN,NEG,Ciudad Juárez,202813,0.9
IIS,IIT,Ciudad Juárez,202813,0.9
IMT,IIT,Ciudad Juárez,202911,0.9
LAE,NEG,Ciudad Juárez,202911,0.9
LIN,NEG,Ciudad Juárez,202911,0.9
IIS,IIT,Ciudad Juárez,202911,0.9
IMT,IIT,Ciudad Juárez,202913,0.9
LAE,NEG,Ciudad Juárez,202913,0.9
LIN,NEG,Ciudad Juárez,202913,0.9
IIS,IIT,Ciudad Juárez,202913,0.9
IMT,IIT,Ciudad Juárez,203011,0.9
LAE,NEG,Ciudad Juárez,203011,0.9
LIN,NEG,Ciudad Juárez,203011,0.9
IIS,IIT,Ciudad Juárez,203011,0.9
IMT,IIT,Ciudad Juárez,203013,0.9
LAE,NEG,Ciudad Juárez,203013,0.9
LIN,NEG,Ciudad Juárez,203013,0.9
IIS,IIT,Ciudad Juárez,203013,0.9
